name,price_at_scrape,price_reduction_rec_retail_at_scrape,scraoe_date
Blackmores Lyprinol Marine Value Pack 100 Capsules,44.99,42.51,2021-03-28
Blackmores Joint Formula Advanced 120 Tablets,39.99,40.00,2021-03-28
Blackmores Pregnancy and Breastfeeding Gold 180 Capsules,37.49,35.51,2021-03-28
Oral B Pro 100 Cross Action Power Toothbrush Black,34.99,35.00,2021-03-28
Oral B Pro 100 Cross Action Power Toothbrush Black,34.99,35.00,2021-03-28
Oral B Pro 100 3D White Polish Power Toothbrush Pink,34.99,35.00,2021-03-28
Blackmores Glucosamine Sulfate 1500mg One-A-Day 180 Tablets,35.99,34.00,2021-03-28
Blackmores Macu Vision 150 Tablets,36.99,30.01,2021-03-28
Oral B Vitality Power Toothbrush Kids Frozen,19.99,30.00,2021-03-28
Oral B Vitality Power Toothbrush Precision Clean +2 Refills,19.99,30.00,2021-03-28
Oral B Vitality Power Toothbrush Sensitive +2 Refills,19.99,30.00,2021-03-28
Oral B Vitality Power Toothbrush Precision Clean +2 Refills,19.99,30.00,2021-03-28
Nature's Own Glucosamine Sulfate 1500 with Chondroitin 160 Tablets,29.99,29.00,2021-03-28
Blackmores Bio C 1000 150 Tablets,19.99,26.01,2021-03-28
Neutrogena Rapid Wrinkle Repair Regenerating Cream 48G,24.49,24.50,2021-03-28
Neutrogena Rapid Wrinkle Repair Regenerating Cream Fragrance-free 48g,24.49,24.50,2021-03-28
Nude by Nature Complexion Essentials Medium,35.99,23.96,2021-03-28
Nude by Nature Complexion Essentials Light/Medium,35.99,23.96,2021-03-28
Nude by Nature Xmas 2020 Golden Sunrise Medium,35.99,23.96,2021-03-28
Blackmores Omega Triple Concentrated Fish Oil 150 Capsules,33.99,23.00,2021-03-28
Blackmores Odourless Fish Oil 400 Mini Capsules,28.99,22.51,2021-03-28
Nature's Way Kids Smart Omega-3 Fish Oil Trio 180 Capsules,22.47,22.48,2021-03-28
Neutrogena Rapid Wrinkle Repair Anti-Ageing Serum 29mL,21.49,21.50,2021-03-28
Neutrogena Rapid Wrinkle Repair Retinol Oil 30ml,21.49,21.50,2021-03-28
Neutrogena Rapid Wrinkle Repair Anti-Ageing Moisturiser Night 29mL,19.99,20.00,2021-03-28
Neutrogena Rapid Wrinkle Repair Moisturiser SPF 15 29ml,19.99,20.00,2021-03-28
Neutrogena Rapid Tone Repair Moisturiser Night 29ml,19.99,20.00,2021-03-28
Oral B Power Toothbrush Genius Series 8500 Silver Exclusive Pack,169.99,20.00,2021-03-28
Oral B Precision Clean Refills 8 Pack,29.99,20.00,2021-03-28
Blackmores Evening Primrose Oil 190 Capsules,22.99,19.51,2021-03-28
Blackmores Total Calcium & Magnesium + D3 200 Tablets,21.99,19.00,2021-03-28
Nature's Own Odourless Fish Oil 2000mg - Source of Omega-3 - 200 Capsules,18.99,19.00,2021-03-28
Nature's Own Odourless Fish Oil 2000mg - Source of Omega-3 - 200 Capsules,18.99,19.00,2021-03-28
Blackmores Executive B 160 Tablets,44.99,18.00,2021-03-28
Gillette Skinguard A5 Cartridges 10 Pack,40.69,17.81,2021-03-28
Gillette Skinguard A5 Cartridges 10 Pack,40.69,17.81,2021-03-28
Gillette Skinguard A5 Cartridges 10 Pack,40.69,17.81,2021-03-28
L'Oreal Paris Age Perfect Cell Renewal Serum 30ml,32.39,17.56,2021-03-28
Blackmores Bio C Chewable 500mg 200 Tablets,18.99,17.51,2021-03-28
Blackmores Lutein Vision Advanced 60 Tablets NEW,40.99,17.50,2021-03-28
Blackmores Lutein Vision Advanced 60 Tablets NEW,40.99,17.50,2021-03-28
Neutrogena Rapid Wrinkle Repair Anti Ageing Eye Cream 14mL,17.49,17.50,2021-03-28
Neutrogena Bright Boost Illuminating Serum 30ml,17.49,17.50,2021-03-28
Neutrogena Bright Boost Illuminating Serum 30ml,17.49,17.50,2021-03-28
Nature's Way Beauty Collagen Shots 10 x 50ml,17.49,17.50,2021-03-28
Neutrogena Rapid Tone Repair Dark Circle Eye Cream 3.9ml,17.44,17.46,2021-03-28
Blackmores Vitamin E 1000IU 100 Capsules,44.99,17.00,2021-03-28
Blackmores Macu Vision Plus 120 Tablets,49.49,17.00,2021-03-28
Nature's Way Greens Plus 300g,43.99,16.00,2021-03-28
Nude by Nature Essential Collection 7 Piece Brush,23.99,15.96,2021-03-28
L'Oreal Paris Age Perfect Cell Renewal Night Cream 50ml,28.99,15.96,2021-03-28
L'Oreal Paris Age Perfect Cell Renewal Day Cream 50ml,28.99,15.96,2021-03-28
Gillette Fusion ProShield Cartridges 8 Pack,36.39,15.60,2021-03-28
Gillette Fusion ProShield Cartridges 8 Pack,36.39,15.60,2021-03-28
Gillette Fusion ProShield Cartridges 8 Pack,36.39,15.60,2021-03-28
Nature's Way Beauty Collagen Powder 120g,14.99,15.00,2021-03-28
Neutrogena Hydro Boost Serum Anti-Oxidant Capsules 30ml,14.99,15.00,2021-03-28
Neutrogena Bright Boost Gel Cream 50g,14.99,15.00,2021-03-28
Neutrogena Bright Boost Gel Cream 50g,14.99,15.00,2021-03-28
Blackmores Fish Oil 1000mg 400 Capsules,26.99,15.00,2021-03-28
Gillette Fusion Power Refill Blades 8 Pack,29.99,14.70,2021-03-28
Gillette Fusion Power Refill Blades 8 Pack,29.99,14.70,2021-03-28
Gillette Fusion Power Refill Blades 8 Pack,29.99,14.70,2021-03-28
Blackmores Cholesterol Health 60 Capsules,23.99,14.51,2021-03-28
Blackmores Cholesterol Health 60 Capsules,23.99,14.51,2021-03-28
Blackmores Odourless Fish Oil 1000mg 400 Capsules,31.99,14.01,2021-03-28
